Item Number,Brand,Description,Pack/Size,Price,UOM
354800,JONES,018745 SAUSAG PATTY CK20Z,80/2,3.935,LB
355100,TORINO,SAUSAGE ROPE SWEET 5#,1/s,3.345,LB
355450,SMITHFIELD,17233 P/C BACON,2/150,41.95,cs
355700,RICHS,09259 PULLED PORK 4/5,L,114.97,cs
402020,CIRENZA,00516 RAVIOLI LG CHEESE 2/5,L,33.00,cs
402040,CIRENZA,00518 RAVIOLI LG 4 CHEESE 2/5,L,35.50,cs
402060,CIRENZA,00538 RAVIOLI MED SQ BEEF 2/5,L,34.50,cs
402090,CIRENZA,00536 RAVIOLI PORTABELLA,2/2.5,27.50,cs
402130,CIRENZA,00539 RAVIOLI BRD 4 CHSE 2/5,L,41.00,cs
402160,CIRENZA,00533 RAVIOLI LOBST STRP,2/2.5,71.00,cs
402220,CIRENZA,00526 TORTELLINI CHEESE 2/5,L,23.50,cs
402240,CIRENZA,00522 TORTELLINI MEAT 2/5,L,26.50,cs
402260,CIRENZA,00521 TORTELLINI TRICOLOR,12/1,28.50,cs
402320,CIRENZA,00531 STUFFED SHELLS 80CT 2/5,L,35.50,cs
402370,CIRENZA,00541 MANICOTTI CHEESE,4/12,36.50,cs
402440,CIRENZA,00528 GNOCCHI 2/S,L,25.50,cs
402480,CIRENZA,00524 PASTA SHEET 40CT,1/10,19.50,cs
402930,REGAL NP,RAVIOLI BREADED CHEESE 2/5,L,37.00,cs
402938,SEVIROLI,18378 RAVIOLI CHSE BRD SQ 2/5,L,54.69,cs
402980,VERTULLO,02131 GNOCCHI POTATO 2/5,L,29.94,cs
403000,SEVIROLI,71122 TORTELLINI CHEESE 2/5,L,34.64,cs
403200,SEVIROLI,71722 TORTELL TRI COL PC 2/5,L,"33,18",cs
403220,SEVIROLI,75120 MANICOTTI W/CHEESE,60/2.,52.54,cs
403230,SEVIROLI,78132 SHELLS STUFFED MED,92/1.,51.66,cs
403250,SEVIROLI,78921 LASAGNA PASTA SHEET,1/40,24.40,cs
403650,COMARCO,92555 EGGPLANT RD BREAD 2/5,L,29.15,cs
403670,COMARCO,82705 EGGPLANT RND BATRD 2/5,L,29.15,cs
404600,FRANKLIN,50z ORIG (GRN) VEG BURGER,36/5,53.20,cs
355200,TORINO,SAUSAGE SWEET LINK 5LB 1/5,L,3.345,LB
355500,CHEF PRIDE,18175 BACON BEEF SLICED,4/5L,7.09,LB
356500,BERRY VEAL,TOP ROUND CUTLET 402,1/10,10.755,LB
402030,CIRENZA,00519 RAVIOLI LG BEEF 2/5,L,36.50,cs
402050,CIRENZA,00517 RAVIOLI MED SQ CHSE 2/5,L,30.50,cs
402080,CIRENZA,00537 RAVIOLI MAINE LOBST,2/2.5,71.00,cs
402110,CIRENZA,00535 RAVIOLI SPINACH CHS,2/2.5,19.50,cs
402140,CIRENZA,00540 RAVIOLI SPIN GARLIC,2/2.5,19.50,cs
402180,CIRENZA,00534 RAVIOLI BNUT SQUASH,2/2.5,27.50,cs
402230,CIRENZA,00525 TORTELLINI TRICOLOR 2/5,L,23.50,cs
402250,CIRENZA,60520 TORTELLINI CHEESE,12/1,28.50,cs
402310,CIRENZA,00530 STUFFED SHELLS 60CT 2/5,L,36.50,cs
402360,CIRENZA,00532 MANICOTTI CHEESE,4/15,36.50,cs
402410,CIRENZA,00529 CAVATELLI 2/5,L,19.50,cs
402460,CIRENZA,00527 STUFFED RIGATONI,4/2.5,24.50,cs
402520,CIRENZA,00523 PASTA SHEETS WAVY,1/10,19.50,cs
402934,SEVIROLI,18372 RAVIOLI SPIN/CHS LG,2/2.5,27.77,cs
402940,SEVIROLI,18231 RAVIOLI LOBSTER JUM,2/2.5,74.44,cs
402990,SEVIROLI,77921 CAVATELLI 2/5,L,"24,40",cs
403100,SEVIROLI,71222 TORTELLINI MEAT 2/5,L,33.53,cs
403210,SEVIROLI,73132 RAVIOLI LRG CH CKD,133/1,45.40,cs
403227,SEVIROLI,77535 RIGATONI STUFFED,4/2.5,34.28,cs
403240,SEVIROLI,78133 SHELLS STUFFD JUMBO,60/2.,54.87,cs
403290,SEVIROLI,91234 RAVIOLI PORTABELLO,2/2.7,33.29,cs
403660,COMARCO,95105 EGGPLANT LONG BRD,1/10,29.65,cs
403680,COMARCO,85705 EGGPLANT LONG BTRD,1/10,29.65,cs
404710,FRANKLIN,CA40 CALIFORNIA BURGER,40/4,52.90,cs
404960,DR PRAEGER,SWIN33 BLACK BEAN BURGER,48/3.,42.85,cs
408000,ROSINA,40194 MEATBALLS 1/20Z CK 2/5,L,5.04,LB
408150,ROSINA,40238 MEATBALLS 1.50% CKD 2/5,L,5.06,LB
408220,BELLA,40174 MEATBALLS 1/202 2/5,L,3.595,LB
408250,BELLA,40108 MEATBALLS 202 2/5,L,3.615,LB
450115,VIKING,1058204 BREADED FLOUNDER 1/5,L,5.415,LB
450500,HIGH LINER,1058214 FLOUNDER PRECOOKD 1/5,L,5.395,LB
451800,ACME,0409G SMOKED SALMON 1LB,12/1,19.055,LB
451880,ACME SLICE,NOVA 12/3 02,12/3,55.90,cs
481010,REGAL NP,"01302 WRAP WH WHEAT 12""",6/12,20.25,cs
501200,NEW YORK,PRETZELS 3.50Z 100CT.,100/3,27.40,cs
501400,ORIGINAL,45101 BAGELS PLAIN,1/45,17.62,cs
501600,ORIGINAL,45103 BAGELS SESAME SEED,1/45,18.42,cs
501800,ORIGINAL,45105 BAGELS ONION,1/45,"18,42",cs
502000,ORIGINAL,45107 BAGELS GARLIC,1/45,18.42,cs
502130,ORIGINAL,45111 BAGEL MARBLE,45/5,19.22,cs
502180,ORIGINAL,45116 BAGEL SPINACH,45/5,"18,42",cs
502330,ORIGINAL,45145 BAGEL FRENCH TOAST,45/5,19.73,cs
502400,ORIGINAL,45112 BAGELS BLUEBERRY,1/45,19.75,cs
502700,ORIGINAL,49901 BAGEL BKED/SLIC 402,1/45,18.91,cs
506800,THOMAS,94015 ENGLISH MUFFINS,6/12,24.72,cs
510010,HARVEST,002 COOKIE LINZER TART,12/4,15.30,cs
510020,HARVEST,004 COOKIE CHOCOLATE CHIP,12/4,16.50,cs
510030,HARVEST,005 COOKIE CANDY,12/4,16.00,cs
510040,HARVEST,008 COOKIE MACAROON,12/4,17.25,cs
510050,HARVEST,010 COOKIE SPRINKLE,12/4,15.15,cs
510100,HARVEST,001 CRUMB CAKE PLAIN,1/CAK,23.80,cs
405200,ARMANINO,01982 PESTO SAUCE,6/30,82.05,cS
408100,ROSINA,40071 MEATBALLS 10Z CKD 2/5,L,5.06,LB
408200,ROSINA,40081 MEATBALLS 202 CKD 2/5,L,5.06,LB
408230,BELLA,40006 MEATBALLS 10Z,2/5L,3.595,LB
410030,KONTOS,21065 GYROS STRIPS UNCKD,130/1,54.75,CS
450400,SAMBAND,21782 PUB BAT COD PICDLY,1/10,8.81,IB
451550,MRS FRIDAY,73550 KRABBY CAKES 302,4/2.5,53.25,cS
451810,ACME,0405 SLICED NOVA BOARD,2/2.5,16.25,LB
481000,REGAL NP,01301 WRAP PLAIN 12 INCH,6/12,20.25,cS
481030,REGAL NP,"01304 WRAP SPINACH 12""",6/12,22.45,cs
501300,NEW YORK,PRETZELS 60Z 50CT JUMBO,50/6,27.42,CS
501500,ORIGINAL,45102 BAGELS POPPY SEED,1/45,18.42,cS
501700,ORIGINAL,45104 BAGELS PUMPERNICKEL,1/45,18.42,CS
501900,ORIGINAL,45106 BAGELS CINN RAISIN,1/45,18.42,cS
502100,ORIGINAL,45108 BAGELS WHEAT,1/45,18.42,cs
502170,ORIGINAL,45115 BAGEL ANCIENT GRAIN,45/5,18.42,cS
502300,ORIGINAL,45142 BAGEL JALAPENO,45/5,19.73,cs
502380,ORIGINAL,30135 BAGEL ASIAGO,15/6,44.75,CS
502500,ORIGINAL,45114 BAGELS EVERYTHING,1/45,19.22,cS
506750,THOMAS,94050 ENGLISH MUFN SANDW,48/3.,25.97,CS
510000,HARVEST,001 COOKIE BLACK & WHITE,12/4,14.70,cs
510015,HARVEST,003 COOKIE CHOCOLATE TART,12/4,16.00,cs
510025,HARVEST,0045 COOKIE CHOC 1/2 DIP,12/4,17.55,cs
510035,HARVEST,006 COOKIE OATMEAL,12/4,14.00,cs
510045,HARVEST,009 COOKIE MACA 1/2 DIP,12/4,17.95,cS
510090,HARVEST,0320 CORN BREAD SHEET,4/TRA,39.50,CS
510110,HARVEST,003 CRUMB CAKE RASPBERRY,1/CAK,25.60,CS
510140,HARVEST,009 CRUMB CAKE BLUEBERRY,1/CAK,21.70,CS
510155,HARVEST,0115 CRUMB CAKE APPLE CML,1/CAK,26.50,CS
510190,HARVEST,017 CAKE CARROT FROSTED,1/CAK,23.30,cS
510210,HARVEST,021 TRUFFLE BROWNIE,1/CAK,23.75,cS
510225,HARVEST,024 C/CHEESE BROWNIE CAKE,1/CAK,23.75,CS
510240,HARVEST,027 SHEET CAKE OREO,1/CAK,24.85,cS
510280,HARVEST,035 SHEET CAKE BLONDIE,1/CAK,24.55,cS
510285,HARVEST,030 SHEET CAKE ST PATRICK,1/CAK,20.58,CS
510295,HARVEST,124 SHEET CAKE CHRISTMAS,1/CAK,20.08,CS
510305,HARVEST,001 CINNAMON BUN C/C ICED,12/8,18.50,cS
510350,HARVEST,021 DANISH APPLE ROUND,6/50,10.25,cs
510360,HARVEST,023 DANISH CHERRY ROUND,6/50,11.05,CS
510370,HARVEST,025 DANISH LEMON ROUND,6/50,9.70,cs
510465,HARVEST,002 Y/MUFFIN CHOC CHIP IW,12/5,17.25,cS
510480,HARVEST,005 Y/MUFFIN APPLE STR IW,12/5,17.25,CS
510510,HARVEST,002 Y/MUFFIN CHOC CHIP,12/6,17.45,cs
510540,HARVEST,004 ¥/MUFFIN BLUEBERRY,12/6,16.50,cs
510550,HARVEST,005 ¥/MUFFIN APPLE STRUD,12/6,17.65,CS
510570,HARVEST,007 Y¥/MUFFIN BANANA NUT,12/6,16.35,CS
510585,HARVEST,009 Y/MUFFIN CAPPUCCINO,12/6,16.45,CS
510630,HARVEST,012 Y/MUFFIN CARROT,12/6,16.25,cs
510650,HARVEST,015 Y/MUFFIN BANANA CHIP,12/6,18.35,CS
510660,HARVEST,017 ¥/MUFPIN CRANBERRY,12/6,17.45,cs
510665,HARVEST,018 Y/MUFFIN CINN CHIP,12/6,15.24,cs
510710,HARVEST,024 Y/MUFFIN BERRY FUSION,12/6,16.10,cs
510720,HARVEST,026 ¥/MUFFIN PISTACHIO,12/6,17.15,cs
510750,HARVEST,029 Y/MUFFIN CINN/COFF CK,12/6,15.70,CS
510150,HARVEST,011 CRUMB CAKE APPLE,1/CAK,21.75,cS
510180,HARVEST,015 CAKE BANANA FROSTED,1/CAK,21.65,CS
510200,HARVEST,019 CAKE GERMAN BUTTER,1/CAK,22.70,CS
510215,HARVEST,0215 BROWNIE NO NUTS,1/CAK,23.35,cS
510230,HARVEST,025 BROWNIE PEANUT BUTTER,1/CAK,25.60,CS
510250,HARVEST,029 CRUMB CAKE MARBLE,1/CAK,23.35,CS
510282,HARVEST,SHEET CAKE VALENTINE'S,1/CAK,19.57,cs
510290,HARVEST,090 SHEET CAKE HALLOWEEN,1/CAK,20.28,CS
510300,HARVEST,001 APPLE TURNOVER,6/50,10.55,cS
510345,HARVEST,020 DANISH CHEESE ROUND,6/50,10.25,CS
510355,HARVEST,022 DANISH BLUEBERRY RD,6/50,10.25,CS
510365,HARVEST,024 DANISH PINEAPPLE RD,6/50,10.25,CS
510460,HARVEST,001 Y/MUFFIN CORN IW,12/5,16.75,cs
510475,HARVEST,004 Y/MUFFIN BLUEBERRY IW,12/5,16.95,CS
510500,HARVEST,001 Y/MUFFIN CORN,12/6,15.55,cS
510520,HARVEST,003 Y/MUFFIN DUTCH CHOC,12/6,17.45,cS
510545,HARVEST,0045 Y/MUFFIN BLUEB CRUMB,12/6,16.65,CS
510560,HARVEST,006 Y¥/MUFFIN ORANGE CRANB,12/6,15.85,CS
510580,HARVEST,008 Y/MUFFIN LEMON POPPY,12/6,15.85,CS
510590,HARVEST,030 Y/MUFFIN RED VELVET,12/6,17.75,CS
510640,HARVEST,014 Y/MUFFIN RAISIN BRAN,12/6,16.10,cS
510655,HARVEST,016 Y/MUFFIN CHOC CHEESE,12/6,17.90,CS
510665,HARVEST,018 ¥/MUFFIN CINN CHIP,12/6,16.40,cs
510700,HARVEST,022 ¥/MUFFIN PUMPKIN,12/6,16.95,cS
510715,HARVEST,025 Y/MUFFIN IVORY CHIP,12/6,15.80,cS
510745,HARVEST,028 Y/MUFFIN MARBLE CRUNC,12/6,16.05,CS
510750,HARVEST,029 Y/MUFFIN CINN/COFF CK,12/6,17.80,CS
510785,HARVEST,004 CUPCAKE LEMON COCONUT,12/6.,19.20,cs
510795,HARVEST,006 CUPCAKE RED VELVET,12/6.,21.05,cs
510805,HARVEST,008 CUPCAKE ROCKY ROAD,12/6.,20.50,cs
510830,HARVEST,033 CUPCAKE ST PATRICKS,12/6.,15.96,cs
510835,HARVEST,060 CUPCAKES SPRING ASSOR,12/6.,19.52,cs
510845,HARVEST,127 CUPCAKES CHRISTMAS,12/6.,17.77,cs
510880,HARVEST,101 CUPCAKES ASSORTED #1,12/6,21.25,cs
511000,HARVEST,001 YOGURT LOAF PLAIN,1/CAK,15.85,cs
511020,HARVEST,003 YOGURT LOAF CHOCOLATE,1/CAK,15.60,cs
511060,HARVEST,006 YOGURT LOAF CARROT,1/CAK,17.00,cs
511115,HARVEST,013 ¥/LOAF PUMPKIN,1/CAK,16.25,cs
511505,HARVEST,002 CRUMB CAKE RASPB IND,12/5.,16.00,cs
511515,HARVEST,004 CRUMB CAKE MARBLE IND,12/5.,15.65,cs
511555,HARVEST,002 Y/LOAF MARBLE IND,12/4,14.70,cs
511575,HARVEST,005 ¥/LOAF LEMON ICED IND,12/4,15.50,cs
511640,HARVEST,CHRISTMAS SPRINKLE COOKIE,12/4,14.83,cs
511650,HARVEST,133 COOKIE RED/GREEN,12/4,12.87,cs
511665,HARVEST,135 COOKIE WREATH,12/4,11.40,cs
511703,HARVEST,101 COOKIE PUMPKIN FACE,12/4,14.70,cs
511710,HARVEST,039 COOKIE GREEN & WHITE,12/4,12.32,cs
511720,HARVEST,COOKIE SPRINKLE G/W,12/4,13.32,cs
511725,HARVEST,068 COOKIES PINK EASTER,12/4,13.57,cs
511730,HARVEST,COOKIE PINK AND WHITE HRT,12/4,"12,82",cs
511738,HARVEST,COOKIE VALENTINE'S HEART,12/4,12.07,cs
511750,HARVEST,LINZER TART HEART SHAPED,12/4,13.82,cs
511785,HARVEST,SAMPLE #2 MUFFINS,12/6,01,cs
514010,DISTINCTIV,CHOCOLATE LAVA CAKE 2/9,P,38.00,cs
510790,HARVEST,005 CUPCAKE OREO,12/6.,20.45,CS
510800,HARVEST,007 CUPCAKES REESE'S PB,12/6.,21.45,cs
510810,HARVEST,009 CUPCAKE VANILLA SPRKL,12/6.,18.40,cs
510832,HARVEST,080 CUPCAKE PATRIOTIC,12/6.,17.77,cs
510840,HARVEST,093 CUPCAKE HALLOWEEN,12/6.,20.75,cs
510850,HARVEST,CUPCAKE VALENTINE'S,12/6.,17.51,cs
510890,HARVEST,102 CUPCAKES ASSORTED #2,12/6,21.25,cS
511000,HARVEST,001 YOGURT LOAF PLAIN,1/CAK,15.85,CS
511050,HARVEST,005 YOGURT LOAF LEMON ICE,1/CAK,16.35,CS
511095,HARVEST,010 YOGURT LOAF BANANA,1/CAK,16.00,cs
511500,HARVEST,001 CRUMB CAKE PLAIN IND,12/5.,15.65,CS
511510,HARVEST,003 CRUMB CAKE CHOC IND,12/5.,16.15,cs
511550,HARVEST,001 Y/LOAF PLAIN IND,12/4,15.10,cs
511560,HARVEST,003 Y/LOAF CHOCOLATE IND,12/4,16.00,cs
511580,HARVEST,006 ¥/LOAF CARROT IND,12/4,16.00,cs
511645,HARVEST,083 COOKIE PATRIOT SPRINK,12/4,12.87,CS
511660,HARVEST,134 COOKIE CHRISTMAS TREE,12/4,11.65,cs
511702,HARVEST,100 COOKIE HLWN CHOC TART,12/4,13.50,cs
511705,HARVEST,099 COOKIE BLACK/ORANGE,12/4,14.00,cS
511715,HARVEST,040 COOKIE SHAMROCK SUGAR,12/4,11.60,cs
511722,HARVEST,102 COOKIE SPRINKLE B/O,12/4,14.50,CS
511728,HARVEST,COOKIE RED AND WHITE,12/4,12.82,cs
511735,HARVEST,067 COOKIES EASTER EGG,12/4,13.37,cs
511740,HARVEST,VALENTINE HEART CHOC TART,12/4,13.08,CS
511780,HARVEST,SAMPLE #1 SHEET CAKE,6/PC,.01,CS
511815,HARVEST,SAMPLE WRAPPED ITEMS,12/PC,0.01,cs
514060,BETTER BRD,"1212 PIZZA CRUST 12"" GF",2/10,64.25,cs
520020,ALADDIN,151201 WRAP PLAIN 12 INCH,6/12,21.00,cs
520030,ALADDIN,151213 WRAPS JALAPENO,6/12,22.00,cs
518020,PAPPETI,EGG PATTY 3.5 INCH,120/1,18.25,cs
520060,ALADDIN,151216 WRAP SOUTHWEST,6/12,22.00,cs
520070,ALADDIN,151219 WRAP BLACK BEAN,6/12,22.00,cs
520085,ALADDIN,151222 WRAP RED ROAST PEP,6/12,25.50,cs
520100,ALADDIN,21081 PANINI PLAIN 8 INCH,12/10,32.45,cs
520210,TOUFAYAN,00421 WRAP PLAIN 12 INCH,6/12,16.70,cs
520220,TOUFAYAN,01413 WRAP GLUTEN FREE,6/10,35.95,cs
520230,TOUFAYAN,"00425 WRAP SPINACH 12""",6/12,17.25,cs
550300,GABILA,POTATO KNISH 4.50Z,30/4.,30.90,cs
600700,RR CHIX,CUTLETS TENDER OUT,4/10,1.44,LB
600750,PACKER,CHIX BREAST BONE IN,1/40,1.85,LB
601200,PERDUE,65161 TURKEY HAM,2/PIE,3.91,LB
602020,PERDUE,75039 TURKEY 4* S/L BROWN,2/PIE,5.20,LB
611070,CITTERIO,462 MORTADELLA W/PISTACH,2/PIE,3.89,LB
650200,BERKSHIRE,779 ROAST BEEF FLATS,2/PIE,4.945,LB
650360,HARVEST,319 PREM TURKEY PAN ROAST,2/PIE,4.89,LB
651400,LINDEE RAW,CORNED BEEF,2/PIE,"4,39",LB
651600,PACKER,BEEF RIB EYES Cwr,o1/PIE,11.59,LB
652100,PACKER,BEEF TOP ROUNDS,3/PIE,4.89,LB
652800,ECOLAIT,460 VEAL TOP RND CAP/OFF,2/PIE,24.49,LB
653200,AL & JOHN,2110 HAM HONEY JET,2/PIE,3.75,LB
653400,AL & JOHN,4070 HAM HOTLINE GLEN RCK,6/PIE,3.00,LB
653600,AL & JOHN,1000 HAM 10% A&J,4/PIE,3.00,LB
653615,NINEROCK,NINEROCK 10% HAM,2/13,2.40,LB
654089,HATFIELD,2208 BACON HOTEL 16-18,1/15,3.82,LB
00000K,UP FROM,01/01/07 TO 12/31/25 PG: 12 ITEM DESCRIPTION PRICE §20025 ALADDIN 151202 WRAP WHOLE WHEAT,6/12,22.00,CS
520035,ALADDIN,151214 WRAP GARLIC PESTO,6/12,22.00,cS
520055,ALADDIN,151215 WRAP SPINACH,6/12,22.00,cs
520065,ALADDIN,151217 WRAP TOMATO,6/12,22.00,cs
520075,ALADDIN,151233 WRAP THAI GINGER,6/12,23.50,CS
520090,ALADDIN,15191 WRAPS VARIETY #1,6/12,23.90,cs
520120,ALADDIN,161201 WRAP LOW CARB,6/12,34.75,CS
520215,TOUFAYAN,00422 WRAP WHOLE WHEAT,6/12,16.70,cs
520225,TOUFAYAN,00424 WRAP GARLIC PESTO,6/12,17.00,CS
520255,TOUFAYAN,00432 WRAP SD TOMAT/BASIL,6/12,17.25,CS
550310,GABILA,11270 POTATO KNISH 6.502,30/6.,35.50,CS
600715,MT AIR,CHIX CUTLETS BLACK,4/10,1.77,LB
601100,PACKER,WINGS JUMBO PARTY 40LB,1/40,1.655,LB
601450,PERDUE,75082 TKY BRST HONEY SMK,2/PIE,5.28,LB
602060,PERDUE,75780 TURKEY BRST 3 STAR,2/PIE,4.77,IB
650100,BERKSHIRE,559 CORNED BEEF FLATS,2/PIE,4.945,LB
650300,BERKSHIRE,659 PASTRAMI FLATS,2/PIE,4.945,LB
650410,RESSLERS,994 ROAST BEEF SELECT CKD,2/PIE,6.59,LB
651500,GLEN ROCK,0500 BEEF BOLOGNA,4/PIE,3.355,LB
651710,RR BEEF,CHOPPED MEAT 80/20 2/5,L,3.945,LB
652700,PACKER,STEAKS FLANK *LNDN BROIL,5/PIE,4.995,LB
653100,AL & JOHN,4030-2 OLYMPIC VIRG HAM,2/PIE,2.60,LB
653300,AL & JOHN,3100-4 HAM PROSINTINI,4/PIE,3.85,LB
653500,GLEN ROCK,0580 HAM SPICED LOAF,4/PIE,3.10,LB
653610,GLENROCK,0505-4 HAM CHOPPED,4/10,1.90,LB
654015,HATFIELD,1122 BUTTS BONELESS,8/PIE,2.25,LB
654095,HATFIELD,2223 BACON SLAB SLICED,1/15,2.75,LB
654200,HATFIELD,2247 HAM BONELESS COUNTRY,4/PIE,3.195,LB
654240,HATFIELD,2289 HAM PRIMA/POITA SPIC,2/PIE,2.95,LB
654300,HATFIELD,03238 PORK ROLL HATFIELD,3/PIE,3.067,LB
654350,HATFIELD,06149 BEEF SALAMI,2/PIE,4.06,LB
654380,HATFIELD,07214 SCRAPPLE 1#,24/1,1.65,LB
654400,MEDFORD,02448 HAM 10% CVF,2/PIE,2.57,LB
654700,TRENTON,02011 PORK ROLL TRENTON 2/6,L,5.71,LB
654900,GLEN ROCK,2031-6 BACON CANADIAN,6/PIE,2.89,LB
655400,CELEBRITY,19258061 POLISH SLABBACON,4/PIE,5.595,LB
655700,PACKER,PORK LOINS C/CUT BONELESS,1/PIE,1.92,LB
655820,HORMEL,37013 HAM 35% CKD HORMEL,2/13,2.34,LB
657010,REGAL NP,BACON LAYER 18/22,1/15L,3.91,LB
659000,MARKET,PEPPERONI,3/PIE,2.19,LB
659265,HORMEL,27060 EXTREME PEPPERONI,2/12.,84.50,cs
660100,CITTERIO,110 PROSCUITTO BONELESS,2/PIE,5.89,LB
660150,CITTERIV,330 SUPRESSALA SWEET,3/PLE,b.64,LB
660310,CITTERIO,496 HOT HAM CAPICOLLA,2/PIE,4.25,LB
700720,HOTEL BAR,BUTTER SOLID UNSALTED RED,36/1,2.37,LB
701240,BREAKSTONE,130120 WHIP BUTTER CUP,12/80,4.945,LB
701495,PERDUE,75702 TURKEY BRST 4 STAR,2/PIE,4.80,LB
701580,ADMIRATION,83330 MARGARINE ZTF,30/1,31.95,cs
702740,HILLDALE,46000 AMER CHS 120 YELLOW 4/5,L,2.72,LB
702760,HILLDALE,46003 AMER CHS 160 YELLOW 4/5,L,2.72,LB
702780,LAND O LAK,48107 CHSE AMER YELL LOAF 6/5,L,3.77,LB
702900,REGAL NP,CHEDDAR SHREDDED,4/5L,2.24,LB
703000,TREASURE,1016959 CRUMBLE BLUE CHS 4/5,L,3.55,LB
703040,CAPUTO RED,SHEEP ROMANO 4/5,L,7.03,LB
654220,HATFIELD,02261 CANADIAN HAM,3/PIE,2.70,LB
654290,HATFIELD,02971 BACON RINDLESS PC,10/PI,2.50,LB
654340,HATFIELD,03206 BOLOGNA GERMAN,2/PIE,2.00,LB
654356,HATFIELD,03240 SALAMI HATFIELD,2/PIE,2.00,LB
654382,HATFIELD,07215 SCRAPPLE 5#,3/5,1.50,1B
654600,TAYLOR,01011 PORK ROLL TAYLOR 2/6,L,6.355,LB
654800,PORK PORK,ROLL 2/6,L,3.89,LB
655000,KRAKUS,7626 HAM KRAKUS CELLO,3/11,3.995,LB
655650,DAK,865073 HAM PREMIUM DELI,2/12,3.295,LB
655800,HORMEL,13507 HAM 10% CKD,2/13,2.54,LB
657000,REGAL NP,BACON LAYOUT 18/22 RED,1/15,4.0196,LB
657020,REGAL NP,BACON LAYER 13/17,1/30,3.87,LB
659250,HORMEL,27348 SALAMI GENOA SAND,4/PIE,4.29,LB
659270,HORMEL,44111PEPPERONI SLICED 2/5,L,3.79,LB
660110,CITTERIO,11016 PROSCIUTTO SLICED,6/1L,78.94,CS
660300,CITTERIO,809 ROSMARINO HAM 2/7,L,4.30,LB
700100,HOTEL BAR,130022BUTTER SOLIDS 36/1,36/1,2.36,LB
701100,HOTEL BAR,130124 BUTTER WHIP 2/5# 2/5,L,2.67,LB
701270,ADMIRATION,83930 BUTTER BLEND ZIF,30/1,38.95,CS
701500,DAIRY SLS,1735 BUTTER CUPS 720/CT,1/720,3.44,LB
701590,CHEFLER |,MARGARINE,30/1,30.85,cs
702750,HILLDALE,46005 AMER CHS 120 WHITE 4/5,L,2.72,LB
702770,HILLDALE,46004 AMER CHS 160 WHITE 4/5,L,2.72,LB
702790,LAND O LAK,48108 CHSE AMER WHI LOAF 6/5,L,3.77,LB
702910,REGAL NP,SHREDDED WHITE CHEDDAR,4/SL,2.24,LB
703020,PISA,PECORINO ROMANO GRATED 4/5,L,2.795,LB
703050,CAPUTO RED,COW GRATED PARMESAN 4/5,L,4.22,LB
703200,REGAL NP,CHEDDAR CHEESE PRINT,1/CWwr,2.45,LB
703260,REGAL NP,PROVOLONE 6/6,6/CWT,2.28,LB
703280,REGAL NP,11021 CHEESE MUENSTER,6/PIE,2.42,LB
703800,RASKAS,52733 CREAM CHEESE 30LB,1/30,1.905,LB
704550,RASKAS,13278 CREAM CHEESE CUP10Z,100/1,18.71,cS
705250,EUPHRATES,125 FETA ROUND PAIL 25LB,1/25,2.69,LB
705270,EUPHRATES,229 FETA CHEESE 2/8LB,2/8LB,2.79,LB
705920,TOSCANA,§_MOZZ FRESH 1LB 2/3,L,3.79,LB
705940,TOSCANA =,MOZZ FRESH LOG,12/2,4.11,LB
705960,TOSCANA =,MOZZ OVOLINE 40Z,2/3L,3.83,LB
706000,TOSCANA,0603 RICOTTA WHOLE MILK 6/3,L,1.79,LB
706250,CLASSIC,2096 WHIP CREAM CLASSIC,12/15,33.98,CS
706310,RR EGGS,EXTRA LG LOOSE 30DZ,30/DZ,2.24,LB
706330,RR EGGS EX,LG LOOSE 15Dz,15/DZ,2.24,IB
706400,RR EGGS,LRG LOOSE 15DzZ,15/DZ2,2.21.,LB
710020,GALBANI,001021 GALBANI MOZZ 8/5},8/PTE,2.456,LB
710060,GALBANI,0002021 MOZZ PS GALBANI,8/PIE,2.466,LB
710220,GALBANI,0081465 FRESH MOZZ SLICED,6/16,31.4995,CS
710290,BLACK DIAM,0120250 CHEDDAR BLACK DIA 2/5,L,7.12,LB
710320,SORRENTO,0150750 PROVOLONE 6/6LB,6/PIE,2.386,LB
710400,SORRENTO,0160600 MOZZ SHRED RG 6/5,L,2.406,LB
710500,GALBANI,165235 MOZZ/PROV/CHED 6/5,L,2.346,LB
710530,GALBANI,0160910 MOZZ/PRO/CH SHRED 6/5,L,2.666,LB
710620,SORRENTO,2200 MOZZ/WHTE CHED SHRED 6/5,L,2.376,LB
710720,SORRENTO,0167700 CHEDDAR SHRED RG 6/5,L,2.586,LB
710760,GALBANI,3820 ASIAGO SHRED MD FA 6/5,L,4.48,LB
710920,SORRENTO,0750 CHED/MONT SHRED RG 6/5,L,2.556,LB
703230,REGAL NP,MOZZ WHOLE MILK 8/6,s/CWr,2.16,LB
703265,REGAL NP,PROVOLONE 3/12,3/Cwr,2.26,LB
703340,RR,26169 MILD SWISS 6/8,6/PIE,2.745,LB
704500,PAULY,52796 CREAM CHEESE 10/3LB,10/3,1.975,LB
704700,PAULY,52665 CRM CHS SOFT 4/5LB 4/5,L,2.115,LB
705260,EUPHRATES,00025 FETA CRUMBLES 2/5,L,2.89,LB
705700,REGAL NP,MOZZARELLA SHREDDED 4/5,L,2.24,LB
705930,TOSCANA,MOZZ CILIEGINE .1/302 2/3,L,3.95,LB
